species,trial,video,subject,first,last,look,duration
mona,1,trial1a,Sandra,2138,2147,L,10
mona,1,trial1a,Sandra,2148,2153,R,6
mona,1,trial1a,Sandra,2154,2158,L,5
mona,1,trial1a,Sandra,2160,2163,R,4
mona,1,trial1a,Sandra,2218,2218,R,1
mona,1,trial1a,Sandra,2219,2224,R,6
mona,1,trial1a,Sandra,2226,2240,L,15
mona,1,trial1a,Sandra,2241,2280,L,40
mona,1,trial1a,Sandra,2281,2285,L,5
mona,1,trial1a,Esai,2309,2311,L,3
mona,1,trial1a,Esai,2312,2321,R,10
mona,1,trial1a,Sandra,2361,2396,R,36
mona,1,trial1a,Sandra,2403,2416,R,14
mona,1,trial1a,Sandra,2417,2424,L,8
mona,1,trial1a,Sandra,2425,2429,L,5
mona,1,trial1a,Sandra,2430,2441,L,12
mona,1,trial1a,Sandra,2491,2493,L,3
mona,1,trial1a,Esai,2558,2559,L,2
mona,1,trial1a,Esai,2562,2563,L,2
mona,1,trial1a,Esai,2567,2568,L,2
mona,1,trial1a,Esai,2583,2583,L,1
mona,1,trial1a,Esai,2584,2587,L,4
mona,1,trial1a,Esai,2711,2712,R,2
mona,1,trial1a,Esai,2713,2713,L,1
mona,1,trial1a,Esai,2714,2718,L,5
mona,1,trial1a,Esai,2750,2758,L,9
mona,1,trial1a,Esai,2759,2763,R,5
mona,1,trial1a,Esai,2767,2770,R,4
mona,1,trial1a,Esai,2771,2774,L,4
mona,1,trial1b,Sandra,436,453,L,18
mona,1,trial1b,Sandra,454,475,R,22
mona,1,trial1b,Sandra,502,505,L,4
mona,1,trial1b,Sandra,507,508,R,2
mona,1,trial1b,Sandra,543,565,R,23
mona,1,trial1b,Sandra,581,611,L,31
mona,1,trial1b,Sandra,612,615,L,4
mona,1,trial1b,Sandra,616,627,L,12
mona,1,trial1b,Sandra,628,643,R,16
mona,1,trial1b,Esai,1595,1602,L,8
mona,1,trial1b,Esai,1604,1609,L,6
mona,1,trial1b,Esai,1612,1618,R,7
mona,1,trial1b,Esai,1968,1975,L,8
mona,1,trial1b,Esai,1977,1981,R,5
mona,1,trial1c,Whiskey,1337,1337,R,1
mona,1,trial1c,Casper,4663,4668,R,6
mona,1,trial1c,Casper,5092,5093,L,2
mona,1,trial1d,Casper,671,692,L,22
mona,1,trial1d,Casper,693,698,L,6
mona,1,trial1d,Casper,940,948,R,9
mona,1,trial1d,Whiskey,1868,1869,L,2
mona,1,trial1d,Whiskey,1881,1881,L,1
mona,1,trial1e,Casper,1981,1981,L,1
mona,1,trial1f,Casper,1831,1838,L,8
mona,1,trial1f,Casper,1840,1842,R,3
mona,1,trial1g,Whiskey,1162,1163,L,2
mona,1,trial1g,Whiskey,1164,1164,R,1
mona,1,trial1g,Whiskey,1175,1176,R,2
mona,1,trial1g,Whiskey,1179,1179,R,1
mona,1,trial1g,Whiskey,1324,1325,R,2
mona,1,trial1g,Whiskey,1328,1331,R,4
mona,1,trial1g,Whiskey,1332,1332,L,1
mona,1,trial1g,Whiskey,1335,1338,L,4
mona,1,trial1g,Whiskey,1386,1392,L,7
mona,1,trial1g,Whiskey,1401,1405,R,5
mona,1,trial1g,Whiskey,1414,1418,R,5
mona,1,trial1g,Whiskey,1425,1449,R,25
mona,1,trial1g,Whiskey,1450,1455,R,6
mona,1,trial1g,Whiskey,1764,1768,L,5
mona,1,trial1g,Whiskey,1769,1776,L,8
mona,1,trial1g,Whiskey,1815,1822,R,8
mona,1,trial1g,Whiskey,1823,1839,R,17
mona,1,trial1g,Whiskey,1840,1859,R,20
mona,2,trial2a,Katchi's Baby,753,762,L,10
mona,2,trial2a,Katchi's Baby,791,792,R,2
mona,2,trial2a,Katchi's Baby,793,805,L,13
mona,2,trial2a,Katchi's Baby,809,841,L,33
mona,2,trial2a,Katchi's Baby,843,854,R,12
mona,2,trial2a,Kyle,859,860,R,2
mona,2,trial2a,Kyle,861,868,L,8
mona,2,trial2a,Katchi's Baby,869,875,L,7
mona,2,trial2a,Kyle,869,875,L,7
mona,2,trial2a,Kyle,881,881,L,1
mona,2,trial2a,Katchi's Baby,882,892,L,11
mona,2,trial2a,Kyle,883,901,L,19
mona,2,trial2a,Katchi's Baby,902,909,R,8
mona,2,trial2a,Katchi's Baby,910,930,L,21
mona,2,trial2a,Katchi,989,989,L,1
mona,2,trial2a,Katchi,990,991,R,2
mona,2,trial2a,Katchi,992,994,L,3
mona,2,trial2a,Katchi,996,1001,R,6
mona,2,trial2a,Katchi,1002,1006,R,5
mona,2,trial2a,Katchi,1015,1019,L,5
mona,2,trial2a,Katchi's Baby,1055,1155,L,101
mona,2,trial2a,Katchi's Baby,1087,1099,L,13
mona,2,trial2a,Katchi's Baby,1101,1124,R,24
mona,2,trial2a,Katchi's Baby,1129,1130,R,2
mona,2,trial2a,Katchi's Baby,1131,1132,L,2
mona,2,trial2a,Katchi's Baby,1147,1154,R,8
mona,2,trial2a,Katchi's Baby,1163,1173,L,11
mona,2,trial2a,Katchi's Baby,1216,1238,R,23
mona,2,trial2a,Katchi's Baby,1248,1259,R,12
mona,2,trial2a,Katchi's Baby,1264,1264,R,1
mona,2,trial2a,Katchi's Baby,1265,1269,L,5
mona,2,trial2a,Katchi's Baby,1276,1288,L,13
mona,2,trial2a,Katchi's Baby,1289,1292,L,4
mona,2,trial2a,Katchi's Baby,1294,1306,L,13
mona,2,trial2a,Katchi's Baby,1538,1539,L,2
mona,2,trial2a,Katchi's Baby,1540,1543,R,4
mona,2,trial2a,Katchi's Baby,1544,1560,L,17
mona,2,trial2a,Kyle,1883,1889,L,7
