image,original_filename,image_origin,at_cercopan,name,modified,eyeContact
ascanius_F1,0_Sp18_ID98_2_Loc14_C_ascanius_9288,Will,0,n/a,no,yes
ascanius_F2,0_Sp18_ID103_2_Loc20_C_ascanius_8291,Will,0,n/a,no,no
ascanius_M1,0_Sp18_ID106_1_Loc13_C_ascanius_8628,Will,0,n/a,no,yes
ascanius_M2,0_Sp18_ID100_2_Loc14_C_ascanius_9262,Will,0,n/a,no,yes
diana_F1,0_Sp10_ID42_0_Loc3_C_diana_1547_Best,Will,0,n/a,no,no
diana_F2,0_Sp10_ID47_0_Loc14_C_diana_9425_Best,Will,0,n/a,no,yes
diana_M1,0_Sp10_ID46_9_Loc8_C_diana_3245,Will,0,n/a,no,no
diana_M2,0_Sp10_ID49_0_Loc14_C_diana_9416_Best,Will,0,n/a,no,no
mona_F1,0_Sp15_ID80_0_Loc10_C_mona_6376_Best,Will,0,n/a,no,yes
mona_F2,0_Sp15_ID81_0_Loc10_C_mona_6253_Best,Will,0,n/a,no,no
mona_F2_mod,0_Sp15_ID81_0_Loc10_C_mona_6253_Best,Will,0,n/a,yes,no
mona_F3,Limbe_IMG_3177,SW-Limbe,0,n/a,no,yes
mona_F3_mod,Limbe_IMG_3177,SW-Limbe,0,n/a,yes,yes
mona_M1,Limbe_IMG_4229,SW-Limbe,0,n/a,no,no
mona_M2,Limbe_IMG_3153,SW-Limbe,0,n/a,no,yes
mona_M2_mod,Limbe_IMG_3153,SW-Limbe,0,n/a,yes,yes
mona_M3,Limbe_IMG_3886,SW-Limbe,0,n/a,no,no
mona_M3_mod,Limbe_IMG_3886,SW-Limbe,0,n/a,yes,no
nictitans_F1,2015_10_04_IMG_1853,SW-2015,1,Amina,no,yes
nictitans_F2,2015_10_04_IMG_2103,SW-2015,1,Glory,no,yes
nictitans_F3,2015_10_04_IMG_2230,SW-2015,1,Maya,yes,yes
nictitans_F4,2015_10_05_IMG_2295,SW-2015,1,Mimi,no,yes
nictitans_F5,2015_07_22_IMG_2118,SW-2015,1,Jojo,no,yes
nictitans_F6,2015_10_06_IMG_2563,SW-2015,1,Happiness,yes,yes
nictitans_M1,2015_10_06_IMG_2607,SW-2015,1,Double Chief,no,yes
nictitans_M2,2015_10_06_IMG_2535,SW-2015,1,Hogan,no,yes
nictitans_M3,2015_10_07_IMG_2737,SW-2015,1,Ogoja,yes,yes
nictitans_M4,2015_07_04_IMG_3649,SW-2015,1,Cross,no,yes
nictitans_M5,2015_07_31_IMG_4384,SW-2015,1,Tom,no,yes
nictitans_M6,2015_10_12_IMG_2790,SW-2015,1,Akampka,yes,yes
wolfi_F1,0_Sp14_ID62_0_Loc20_C_wolfi_8183_Best,Will,0,n/a,no,yes
wolfi_F2,0_Sp14_ID61_4_Loc20_C_wolfi_8408,Will,0,n/a,no,no
wolfi_M1,0_Sp14_ID60_4_Loc6_C_wolfi_2602,Will,0,n/a,no,yes
wolfi_M2,0_Sp14_ID63_2_Loc20_C_wolfi_8012,Will,0,n/a,no,yes
